playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
10,10,10,0,0,6,9,2,0,0,30,17,0,205,-9,Loss
7,1,10,0,0,9,10,0,0,0,18,19,0,411,-3,Loss
1,6,6,0,0,3,6,11,0,0,13,20,0,405,-1,Loss
10,10,10,0,0,10,10,0,0,0,30,20,0,400,-6,Loss
10,5,4,0,0,5,4,5,6,0,19,20,0,393,-1,Loss
6,10,8,0,0,4,10,2,6,0,24,22,0,386,1,Loss
3,10,8,0,0,7,6,1,7,0,21,21,0,379,1,Push
10,10,4,0,0,11,10,0,0,0,24,21,0,374,-2,Loss
1,10,9,0,0,10,2,10,0,0,20,22,0,368,-5,Win
2,10,8,0,0,2,10,1,6,0,20,19,0,361,-5,Win
10,10,10,0,0,1,2,10,5,0,30,18,0,354,-8,Loss
2,5,9,0,0,3,5,9,0,0,16,17,0,348,-4,Loss
8,5,9,0,0,6,7,2,2,0,22,17,0,341,0,Loss
9,9,10,0,0,2,10,6,0,0,28,18,0,335,0,Loss
3,5,10,0,0,4,4,10,0,0,18,18,0,329,2,Push
10,10,2,0,0,1,5,10,4,0,22,20,0,322,1,Loss
7,9,10,0,0,7,7,10,0,0,26,24,0,316,-1,Loss
10,10,5,0,0,11,9,0,0,0,25,20,0,311,-3,Loss
7,10,10,0,0,5,9,10,0,0,27,24,0,305,-5,Loss
8,3,10,0,0,10,6,3,0,0,21,19,0,299,-4,Win
8,6,8,0,0,6,7,2,7,0,22,22,0,292,-1,Loss
3,11,6,0,0,3,5,8,8,0,20,24,0,285,2,Win
10,9,10,0,0,2,2,1,10,10,29,25,0,277,-1,Loss
3,10,10,0,0,10,4,1,4,0,23,19,0,270,-2,Loss
10,7,5,0,0,2,6,10,0,0,22,18,0,264,-1,Loss
9,4,1,0,0,10,7,0,0,0,14,17,0,259,-2,Loss
10,7,7,0,0,7,10,0,0,0,24,17,0,254,-4,Loss
7,6,10,0,0,2,10,6,0,0,23,18,0,248,-3,Loss
7,2,7,0,0,10,11,0,0,0,16,21,0,243,-4,Loss
7,6,1,0,0,3,6,11,0,0,14,20,0,237,-3,Loss
10,10,4,0,0,7,9,4,0,0,24,20,0,231,-3,Loss
8,5,10,0,0,10,5,10,0,0,23,25,0,225,-4,Loss
10,10,3,0,0,2,10,7,0,0,23,19,0,219,-5,Loss
