playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,cardsLeft,result
10,3,10,0,0,3,10,10,0,0,23,23,364,Loss
10,4,7,0,0,10,10,0,0,0,21,20,359,Win
1,10,7,0,0,10,9,0,0,0,18,19,354,Loss
11,7,3,0,0,3,5,11,0,0,21,19,348,Win
10,9,4,0,0,2,10,1,7,0,23,20,341,Loss
2,5,8,0,0,10,8,0,0,0,15,18,336,Loss
10,3,4,0,0,10,5,10,0,0,17,25,330,Win
7,5,5,0,0,9,3,7,0,0,17,19,324,Loss
10,4,6,0,0,9,7,6,0,0,20,22,318,Win
6,5,4,0,0,10,10,0,0,0,15,20,313,Loss
7,10,8,0,0,3,10,10,0,0,25,23,307,Loss
6,10,10,0,0,10,5,6,0,0,26,21,301,Loss
10,7,3,0,0,9,8,0,0,0,20,17,296,Win
10,10,10,0,0,10,10,0,0,0,30,20,291,Loss
7,5,6,0,0,10,5,1,4,0,18,20,284,Loss
9,9,2,0,0,5,6,6,0,0,20,17,278,Win
6,10,5,0,0,7,8,2,0,0,21,17,272,Win
5,4,11,0,0,10,3,4,0,0,20,17,266,Win
2,5,9,0,0,9,10,0,0,0,16,19,261,Loss
9,4,7,0,0,11,4,5,0,0,20,20,255,Push
10,3,5,0,0,10,4,4,0,0,18,18,249,Push
10,4,6,0,0,10,10,0,0,0,20,20,411,Push
1,8,10,0,0,6,8,6,0,0,19,20,405,Loss
10,10,4,0,0,10,5,2,0,0,24,17,399,Loss
7,10,1,0,0,2,10,10,0,0,18,22,393,Win
3,10,4,0,0,10,8,0,0,0,17,18,388,Loss
9,2,3,0,0,9,11,0,0,0,14,20,383,Loss
10,9,3,0,0,10,10,0,0,0,22,20,378,Loss
5,4,11,0,0,9,5,7,0,0,20,21,372,Loss
4,9,6,0,0,5,5,8,0,0,19,18,366,Win
10,5,5,0,0,11,10,0,0,0,20,21,361,Loss
5,10,3,0,0,3,9,6,0,0,18,18,355,Push
4,10,9,0,0,11,10,0,0,0,23,21,350,Loss
10,7,10,0,0,9,3,8,0,0,27,20,344,Loss
5,2,10,0,0,9,2,10,0,0,17,21,338,Loss
8,7,5,0,0,6,7,10,0,0,20,23,332,Win
10,10,10,0,0,5,6,10,0,0,30,21,326,Loss
10,10,10,0,0,9,10,0,0,0,30,19,321,Loss
10,6,6,0,0,2,7,6,8,0,22,23,314,Loss
10,10,1,0,0,10,3,10,0,0,21,23,308,Win
3,1,10,0,0,10,10,0,0,0,14,20,303,Loss
10,9,4,0,0,4,10,10,0,0,23,24,297,Loss
10,1,11,0,0,3,10,10,0,0,22,23,291,Loss
10,5,6,0,0,10,2,9,0,0,21,21,285,Push
8,10,8,0,0,7,3,10,0,0,26,20,279,Loss
11,4,4,0,0,2,10,4,3,0,19,19,272,Push
8,8,10,0,0,8,7,1,4,0,26,20,265,Loss
